ImageId,ImageDescription,ImageUrl
1,People1,https://raw.githubusercontent.com/jtrapane/CortanaAnalyticsLabs/master/Images/People1.jpg
2,People2,https://raw.githubusercontent.com/jtrapane/CortanaAnalyticsLabs/master/Images/People2.jpg
3,People3,https://raw.githubusercontent.com/jtrapane/CortanaAnalyticsLabs/master/Images/People3.jpg
4,People4,https://raw.githubusercontent.com/jtrapane/CortanaAnalyticsLabs/master/Images/People4.jpg
5,People5,https://raw.githubusercontent.com/jtrapane/CortanaAnalyticsLabs/master/Images/People5.jpg
6,People6,https://raw.githubusercontent.com/jtrapane/CortanaAnalyticsLabs/master/Images/People6.jpg
7,People7,https://raw.githubusercontent.com/jtrapane/CortanaAnalyticsLabs/master/Images/People7.jpg
8,People8,https://raw.githubusercontent.com/jtrapane/CortanaAnalyticsLabs/master/Images/People8.jpg
9,People9,https://raw.githubusercontent.com/jtrapane/CortanaAnalyticsLabs/master/Images/People9.jpg
10,People10,https://raw.githubusercontent.com/jtrapane/CortanaAnalyticsLabs/master/Images/People10.jpg
11,People11,https://raw.githubusercontent.com/jtrapane/CortanaAnalyticsLabs/master/Images/People11.jpg
12,People12,https://raw.githubusercontent.com/jtrapane/CortanaAnalyticsLabs/master/Images/People12.jpg
13,People13,https://raw.githubusercontent.com/jtrapane/CortanaAnalyticsLabs/master/Images/People13.jpg
14,People14,https://raw.githubusercontent.com/jtrapane/CortanaAnalyticsLabs/master/Images/People14.jpg
15,People15,https://raw.githubusercontent.com/jtrapane/CortanaAnalyticsLabs/master/Images/People15.jpg
16,People16,https://raw.githubusercontent.com/jtrapane/CortanaAnalyticsLabs/master/Images/People16.jpg
17,People17,https://raw.githubusercontent.com/jtrapane/CortanaAnalyticsLabs/master/Images/People17.jpg
